Enrollment
10/12/2024

Year,Level,Division,Grade,Count
"2023 - 2024",DIV,"Craig County Public Schools",05,41
"2023 - 2024",DIV,"Craig County Public Schools",06,35
"2023 - 2024",DIV,"Craig County Public Schools",07,27
"2023 - 2024",DIV,"Craig County Public Schools",08,44
"2023 - 2024",DIV,"Craig County Public Schools",09,31
"2023 - 2024",DIV,"Craig County Public Schools",10,42
"2023 - 2024",DIV,"Craig County Public Schools",11,49
"2023 - 2024",DIV,"Craig County Public Schools",12,33
"2023 - 2024",DIV,"Culpeper County Public Schools",,8368
"2023 - 2024",DIV,"Culpeper County Public Schools",PK,159
"2023 - 2024",DIV,"Culpeper County Public Schools",KG,516
"2023 - 2024",DIV,"Culpeper County Public Schools",01,569
"2023 - 2024",DIV,"Culpeper County Public Schools",02,635
